行政区|土地坐落|总面积|土地用途|供应方式|签订时间|相关链接|行政区|电子监管号|项目名称|项目位置|面积|土地来源|土地用途|供地方式|土地使用年限|行业分类|土地级别|成交价格|土地使用权人|下限|上限|约定交地时间|约定开工时间|约定竣工时间|实际开工时间|实际竣工时间|批准单位|合同签订日期
太原市本级|迎泽区郝庄镇，南内环东街以北，20米规划路以南，中鲁物流以东，35kv高压线以西|3.406444|机关团体用地|划拨|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5c4cd427-d7a2-4336-99d3-ae368ab6fd39|太原市本级|1401002019A02975|太原铁路公安局警务技能训练基地及公安业务技术用房建设项目|迎泽区郝庄镇，南内环东街以北，20米规划路以南，中鲁物流以东，35kv高压线以西|3.406444|0.000000|机关团体用地|划拨||铁路运输业|未评估地区|||1.00|2.50|2019年06月01日|2020年05月31日|2023年05月30日|||太原市人民政府|2019年06月01日
莎车县|315国道北侧与兰干路交界|1.040000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=683efa7d-e3f6-4542-8f13-b514af7930de|莎车县|6531252019B00366|棚改安置房项目|315国道北侧与兰干路交界|1.040000|1.040000|城镇住宅用地|挂牌出让|70|房地产业|三级|546.0000|莎车县城建房地产开发有限公司|1.00|1.50|2019年06月10日|2019年09月01日|2021年09月30日|||莎车县|2019年06月01日
西峡县|产业集聚区慈梅路与创业路交汇口西北角|5.676363|科研用地|划拨|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=83f5d0c5-fe32-413c-a22b-dc3e751f16e7|西峡县|4113232019A00204|食用菌科研中心|产业集聚区慈梅路与创业路交汇口西北角|5.676363|0.000000|科研用地|划拨||研究与试验发展|十四等级||||0.70|2019年07月17日|2019年08月21日|2021年08月20日|||西峡县人民政府|2019年06月01日
莎车县|迎宾路泰和城小区南侧|4.300000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=89ec45a9-057c-4e2b-bfc3-930fc9ca532a|莎车县|6531252019B00273|商住用地|迎宾路泰和城小区南侧|4.300000|0.000000|城镇住宅用地|挂牌出让|其他商服用地40年; 城镇住宅用地70年;|电信和其他信息传输服务业|四级|2322.0000|莎车县城建房地产开发有限公司|1.00|1.80|2019年06月10日|2019年09月01日|2022年09月30日|||莎车县|2019年06月01日
宜宾市本级|叙州区南岸三江口片区B-4-4剩余部分地块|2.487800|公用设施用地|划拨|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a5e7f5fe-877a-4ceb-a4e8-1812cce0fb51|宜宾市本级|5115002019A00315|南岸污水处理厂扩建和提标改造工程|叙州区南岸三江口片区B-4-4剩余部分地块|2.487800|0.000000|公用设施用地|划拨||公共设施管理业|九级|1865.8500||||2020年05月05日|2020年05月20日|2023年05月20日|||宜宾市人民政府|2019年06月01日
莎车县|315国道北侧与兰干路交界|0.230000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b0382085-3d69-41bc-8d71-d7011d1d6c55|莎车县|6531252019B00357|棚改安置房|315国道北侧与兰干路交界|0.230000|0.230000|城镇住宅用地|挂牌出让|70|房地产业|三级|138.0000|莎车县城建房地产开发有限公司|1.00|1.50|2019年06月10日|2019年09月01日|2021年09月30日|||莎车县|2019年06月01日
精河县|精河县盐化工工业园区|2.313900|工业用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b03a79c3-59dc-4a17-87f1-55e37647233b|精河县|6527222019B00161|年产5万吨硫化碱3.5万吨硫酸二甲酯2万吨二甲基二硫1万吨甲基磺酰氯项目|精河县盐化工工业园区|2.313900|0.000000|工业用地|挂牌出让|50|其它|三级|97.3000|新疆金盛汇化工有限公司|0.60||2019年06月01日|2019年07月28日|2020年10月30日|||精河县|2019年06月01日
平定县|新建路（平定路-东关转盘）西北侧|1.772300|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b18825bc-d6f2-4cda-9236-ba71229bffcd|平定县|1403212019B00079|益智·岭秀华庭二期商住小区|新建路（平定路-东关转盘）西北侧|1.772300|1.772300|城镇住宅用地|挂牌出让|城镇住宅用地70年; 其他商服用地40年;|房地产业|二级|1824.0000|山西益智集团房地产有限公司|1.00|3.00|2019年07月09日|2020年04月01日|2022年12月31日|||平定县|2019年06月01日
太原市本级|迎泽区郝庄镇，南内环街北侧，20米规划路以北，现状35kv高压线以西|1.727943|监教场所用地|划拨|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=deef8175-9e51-4c80-a1d7-9151e23f9e77|太原市本级|1401002019A02980|太原铁路公安处看守所、拘留所建设项目|迎泽区郝庄镇，南内环街北侧，20米规划路以北，现状35kv高压线以西|1.727943|0.000000|监教场所用地|划拨||铁路运输业|未评估地区|||1.00|1.00|2019年06月01日|2020年05月31日|2023年05月30日|||太原市人民政府|2019年06月01日
莎车县|315国道南侧与纳菲莎路交界|5.460000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f28ae57e-b843-49e1-a0b8-a0b9688fc853|莎车县|6531252019B00338|棚改安置房|315国道南侧与纳菲莎路交界|5.460000|5.460000|城镇住宅用地|挂牌出让|70|房地产业|二级|2866.5000|莎车县城建房地产开发有限公司|1.00|1.20|2019年06月10日|2019年09月10日|2021年09月30日|||莎车县|2019年06月01日
