行政区|供应公告标题|公告类型|发布时间|相关链接|宗地编号|宗地总面积|宗地坐落|出让年限|容积率|建筑密度|绿化率|建筑限高|土地用途明细|投资强度|保证金|估价报告备案号|起始价|加价幅度|挂牌开始时间|挂牌截止时间|现状土地条件|交纳竞买保证金的截止时间|行政区|土地坐落|总面积|土地用途|供应方式|签订时间|相关链接|行政区|电子监管号|项目名称|项目位置|面积|土地来源|土地用途|供地方式|土地使用年限|行业分类|土地级别|成交价格|土地使用权人|下限|上限|约定交地时间|约定开工时间|约定竣工时间|实际开工时间|实际竣工时间|批准单位|合同签订日期
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-75|8508平方米|龙山街道川步村|40年|大于1.3并且小于1.35||||餐饮用地|0万元/公顷|249万元||1149万元|5万元|2019年06月21日08时30分|2019年07月03日08时50分||2019年07月01日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||滨海县|滨海港经济区二洪盐场境内|10.707390|工业用地|挂牌出让|2019/6/6|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=88BAF0DD56DE203AE055000000000001|滨海县|3209222019B00625|滨海县滨海港投资开发有限公司(液体码头)|滨海港经济区二洪盐场境内|10.707390|0.000000|工业用地|挂牌出让|50|仓储业|未评估地区|3694.0500|滨海县滨海港投资开发有限公司|0.70||2020年08月14日|2021年08月19日|2023年08月15日|||滨海县人民政府|2019年06月06日
玉环县|玉环市自然资源和规划局国有建设用地使用权挂牌出让公告(玉土交告字〔2019〕13号)|挂牌|2019/5/29|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8512&sitePath=|玉环干江滨港工业城SGJ40-06-0702地块|10000平方米|干江滨港工业城东北部|50年|大于或等于1.5|大于或等于30|小于或等于20||工业用地|3750万元/公顷|190万元||630万元|5万元|2019年06月18日15时00分|2019年06月28日15时00分||2019年06月26日15时00分|||||||||||||||||||||||||||||
永嘉县|永嘉县自然资源和规划局国有建设用地使用权挂牌出让公告(永资规告〔2019〕16号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8538&sitePath=|工201905|32172.73平方米|桥下镇小京岙村|40年|大于或等于1|小于或等于55|大于或等于10|小于或等于40|工业用地|4500万元/公顷|435万元||2172万元|1万元|2019年06月20日09时00分|2019年07月03日09时00分||2019年07月01日16时00分|||||||||||||||||||||||||||||
奉化市|宁波市自然资源和规划局国有建设用地使用权挂牌出让公告(奉自然资规出告字[2019]01015号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8551&sitePath=|岳林街道大成路两侧地段Ⅱ-06b地块|37113平方米|岳林街道|70年|大于1并且小于或等于2.2|小于或等于22|大于或等于35|大于或等于30并且小于54|城镇住宅用地|0万元/公顷|9000万元||5500元/建筑平方米|10元/建筑平方米|2019年06月20日09时30分|2019年07月01日10时30分||2019年06月28日11时00分|||||||||||||||||||||||||||||
象山县|象山县自然资源和规划局国有建设用地使用权拍卖出让公告(象自然资规出工告字〔2019〕12号)|拍卖|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8492&sitePath=|贤庠镇西泽塘工业地块十四|13295平方米|贤庠镇西泽塘|50年|大于或等于1并且小于或等于2|小于或等于55||小于或等于24|工业用地|4050万元/公顷|199万元||399万元|1万元||||2019年06月19日16时00分|||||||||||||||||||||||||||||
嘉兴市本级|嘉兴市自然资源和规划局国有建设用地使用权挂牌出让公告(嘉土秀洲[2019]第6号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8527&sitePath=|2019嘉秀洲-011号|2163平方米|王江泾镇，后富庄河北侧、嘉兴市张氏喷织有限公司南侧|50年|大于或等于1.1并且小于或等于1.6|小于或等于60|大于或等于15|小于或等于24|工业用地|7500万元/公顷|30万元||108.15万元|5元/平方米|2019年06月20日10时00分|2019年07月03日10时00分||2019年07月01日17时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]12号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8563&sitePath=|2019-62|34914平方米|雉城街道金莲桥村|70年|大于1并且小于1.6||||城镇住宅用地|0万元/公顷|5705万元||28515万元|100万元|2019年06月22日08时30分|2019年07月04日10时00分||2019年07月02日16时00分|||||||||||||||||||||||||||||
温州市本级|温州市自然资源和规划局国有建设用地使用权挂牌出让公告(温审资中心土告字〔2019〕52号)|挂牌|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8548&sitePath=|温州市核心片区九山单元A-11地块|23254.52平方米|温州市鹿城区松台街道|70年|大于1并且小于或等于3||||城镇住宅用地|0万元/公顷|22780万元||113900万元|500万元|2019年06月20日09时00分|2019年07月10日09时00分||2019年07月08日17时00分|||||||||||||||||||||||||||||
象山县|象山县自然资源和规划局国有建设用地使用权拍卖出让公告(象自然资规出工告字〔2019〕13号)|拍卖|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8529&sitePath=|西周琴诗岙村工业地块|2235平方米|西周琴诗岙村田螺山|50年|大于或等于1.1并且小于或等于1.5|小于或等于50||小于或等于24|工业用地|4050万元/公顷|84万元||84万元|1万元||||2019年06月20日16时00分|||||||||||||||||||||||||||||
天台县|天台县自然资源和规划局国有建设用地使用权挂牌出让公告(天土资出告字[2019]22号)|挂牌|2019/5/29|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8516&sitePath=|县城东区E5-1-1-1和E5-1-2-1地块|3018.7平方米|赤城街道工人东路|70年|大于1并且小于或等于2|小于或等于42|大于或等于20|小于或等于20|城镇住宅用地|0万元/公顷|760万元||3800万元|10万元|2019年06月22日09时00分|2019年07月02日09时00分||2019年07月01日16时00分|||||||||||||||||||||||||||||
