行政区|供应公告标题|公告类型|发布时间|相关链接|宗地编号|宗地总面积|宗地坐落|出让年限|容积率|建筑密度|绿化率|建筑限高|土地用途明细|投资强度|保证金|估价报告备案号|起始价|加价幅度|挂牌开始时间|挂牌截止时间|现状土地条件|交纳竞买保证金的截止时间|行政区|土地坐落|总面积|土地用途|供应方式|签订时间|相关链接|行政区|电子监管号|项目名称|项目位置|面积|土地来源|土地用途|供地方式|土地使用年限|行业分类|土地级别|成交价格|土地使用权人|下限|上限|约定交地时间|约定开工时间|约定竣工时间|实际开工时间|实际竣工时间|批准单位|合同签订日期
|||||||||||||||||||||||和龙市|和龙市长春路42-2-5号|0.327038|城镇住宅用地|协议出让|2019/6/5|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6f2c7da2-c7a2-4bd5-8b5b-6fd1020ba728|和龙市|2224062019B00648|住宅|和龙市长春路42-2-5号|0.327038|0.001681|城镇住宅用地|协议出让|62.56|房地产业|二级|0.3331|李雅茹|||2019年06月05日|||||和龙市|2019年06月05日
|||||||||||||||||||||||滁州市本级|苏滁现代产业园兰州路与新安江路交叉口西北侧|3.544000|工业用地|挂牌出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=8a243307-8977-4254-a7ea-070dd1661331|滁州市本级|3411002019B02060|年产500吨稀土永磁复合材料生产项目|苏滁现代产业园兰州路与新安江路交叉口西北侧|3.544000|3.351700|工业用地|挂牌出让|50|其它|四级|607.0000|安徽新锐得材料科技有限公司|1.20||2019年06月14日|2020年04月15日|2021年04月14日|||滁州市|2019年06月04日
|||||||||||||||||||||||钟山县|钟山县城北路花园|0.022001|城镇住宅用地|协议出让|2019/6/6|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5f849ea2-7902-4e64-9d74-cd7e8fef8b65|钟山县|4511222019B00320|李如雄、韦云|钟山县城北路花园|0.022001|0.022001|城镇住宅用地|协议出让|70|住宿业|三级|20.9010|李如雄、韦云|0.80|1.20||||||钟山县|2019年06月06日
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-94|177平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|23万元||23万元|5万元|2019年06月21日08时30分|2019年07月03日17时00分||2019年07月01日16时00分|||||||||||||||||||||||||||||
乐清市|乐清市自然资源和规划局国有建设用地使用权挂牌出让公告(乐土资出让告字[2019]30号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8541&sitePath=|乐清经济开发区20-05-05-02地块|7709平方米|乐清经济开发区|50年|大于或等于1.6并且小于或等于3|小于或等于50|大于或等于15并且小于或等于20|小于或等于40|工业用地|6000万元/公顷|132万元||658万元|1万元|2019年06月21日08时30分|2019年07月04日10时00分||2019年07月02日10时00分|||||||||||||||||||||||||||||
奉化市|宁波市自然资源和规划局国有建设用地使用权挂牌出让公告(奉自然资规出告字[2019]01016号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8553&sitePath=|宁波南部新城JK05-01-03a-1地块|49974平方米|方桥街道|70年|大于1并且小于或等于2|小于或等于30|大于或等于30|大于或等于24并且小于54|城镇住宅用地|0万元/公顷|10000万元||5000元/建筑平方米|10元/建筑平方米|2019年06月20日14时00分|2019年07月01日15时00分||2019年06月28日11时00分|||||||||||||||||||||||||||||
嘉善县|嘉善县自然资源和规划局国有建设用地使用权挂牌出让公告(善土告字[2019]14号)|挂牌|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_5601&sitePath=|2017G-73-2|19680.8平方米|姚庄镇清凉村|50年|大于或等于1.3并且小于或等于2.5||||工业用地|6000万元/公顷|226万元||905.3168万元|2元/平方米|2019年06月19日15时00分|2019年07月01日15时00分||2019年06月27日15时00分|||||||||||||||||||||||||||||
余姚市|余姚市自然资源和规划局国有建设用地使用权挂牌出让公告(余国土告字［2019］14号)|挂牌|2019/5/29|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8400&sitePath=|2019-45|9143平方米|梨洲街道|40年|大于或等于1.3并且小于或等于1.35|小于或等于40|大于或等于25|小于或等于40|其他商服用地|0万元/公顷|500万元||2468.61万元|50万元|2019年06月19日09时00分|2019年07月02日14时30分||2019年07月02日10时30分|||||||||||||||||||||||||||||
|||||||||||||||||||||||清新县|清远市清新区太平镇盈富工业园|0.485552|工业用地|挂牌出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ac620fe2-03db-40f2-8f5c-0720d1faf4f4|清新县|4418272019B00432|广东飞行体育用品有限公司|清远市清新区太平镇盈富工业园|0.485552|0.000000|工业用地|挂牌出让|50|文教体育用品制造业|十一级|126.0000|广东飞行体育用品有限公司|0.80|2.50|2019年07月23日|2020年07月23日|2022年07月23日|||清远市清新区|2019年06月04日
镇海区|宁波市自然资源和规划局国有建设用地使用权挂牌出让公告(甬土资告〔2019〕06009号)|挂牌|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8549&sitePath=|镇海区ZH01-04-46地块|93604平方米|镇海区招宝山街道，宏远路东侧、雄镇路南侧|50年|大于或等于1并且小于或等于1.4||小于或等于20|小于或等于24|工业用地|4500万元/公顷|2200万元||10540万元|50万元|2019年06月20日09时30分|2019年07月01日10时00分||2019年06月28日16时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-91|164平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|21万元||21万元|5万元|2019年06月21日08时30分|2019年07月03日16时00分||2019年07月01日16时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-93|166平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|22万元||22万元|5万元|2019年06月21日08时30分|2019年07月03日16时40分||2019年07月01日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||阜阳市本级|颍东区幸福路南侧、岳湖东路西侧|27.732200|城镇住宅用地|拍卖出让|2019/6/5|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e7d70505-ef7c-4647-b868-9a1d60ac85a6|阜阳市本级|3412002019B00371|[2018]-117号宗地|颍东区幸福路南侧、岳湖东路西侧|27.732200|23.976000|城镇住宅用地|拍卖出让|70|房地产业|六级|137631.2730|合肥同昇地产有限公司|1.00|2.30|2019年07月04日|2019年12月04日|2022年12月04日|||阜阳市|2019年06月05日
象山县|象山县自然资源和规划局国有建设用地使用权拍卖出让公告(象自然资规出工告字〔2019〕12号)|拍卖|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8492&sitePath=|贤庠镇西泽塘工业出让地块十|8020平方米|贤庠镇西泽塘|50年|大于或等于0.9并且小于或等于2|小于或等于55||小于或等于24|工业用地|4050万元/公顷|241万元||241万元|1万元||||2019年06月19日16时00分|||||||||||||||||||||||||||||
嘉兴市本级|嘉兴市自然资源和规划局国有建设用地使用权挂牌出让公告(嘉土秀洲[2019]第6号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8527&sitePath=|2019嘉秀洲-012号|18764平方米|王店镇，梅北路北侧、宝兴路西侧|50年|大于或等于1.1并且小于或等于2.5|小于或等于55|大于或等于15|小于或等于45|工业用地|13500万元/公顷|200万元||938.2万元|5元/平方米|2019年06月20日10时00分|2019年07月03日10时00分||2019年07月01日17时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||龙岩市本级|人民西路北侧龙岩大道西侧|9.020800|城镇住宅用地|拍卖出让|2019/6/5|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7c817f2b-3d17-4f13-86e4-721d06e6de0e|龙岩市本级|3508002019B00577|2019拍-3（西安金融小区出让地块）|人民西路北侧龙岩大道西侧|9.020800|9.020800|城镇住宅用地|拍卖出让|70|房地产业|一级|79170.0000|龙岩市土地发展经营有限公司|3.20|3.74|2021年11月30日|2019年06月05日|2021年11月30日|||龙岩市|2019年06月05日
象山县|象山县自然资源和规划局国有建设用地使用权拍卖出让公告(象自然资规出工告字〔2019〕12号)|拍卖|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8492&sitePath=|贤庠镇西泽塘工业地块二三-1|19480平方米|贤庠镇西泽塘|50年|大于或等于0.9并且小于或等于2|小于或等于55||小于或等于24|工业用地|3900万元/公顷|385万元||585万元|1万元||||2019年06月19日16时00分|||||||||||||||||||||||||||||
永嘉县|永嘉县自然资源和规划局国有建设用地使用权挂牌出让公告(永资规告〔2019〕16号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8538&sitePath=|工201904|38993.07平方米|桥下镇小京岙村|40年|大于或等于1|小于或等于55|大于或等于10|小于或等于55|工业用地|4500万元/公顷|468万元||2340万元|1万元|2019年06月20日09时00分|2019年07月03日09时00分||2019年07月01日16时00分|||||||||||||||||||||||||||||
开化县|开化县自然资源和规划局国有建设用地使用权挂牌出让公告(开资规告字[2019]16号)|挂牌|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8526&sitePath=|根博园2019-1号|1171平方米|开化县根博园2019-1号地块|40年|大于或等于0.5并且小于或等于0.75|小于或等于65|大于或等于20||零售商业用地|0万元/公顷|47万元||158万元|10万元|2019年06月20日09时00分|2019年07月01日09时00分||2019年06月27日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||莆田市本级|黄石商贸物流园地块控规内|1.439280|城镇住宅用地|拍卖出让|2019/6/6|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7050b4c8-2105-439d-8360-5a3a3db5f557|莆田市本级|3503002019B00545-1|鞋服城入口与荔港大道交叉口西北|黄石商贸物流园地块控规内|1.439280|0.919000|城镇住宅用地|拍卖出让|70|房地产业|八级|8200.0000|莆田市元丰房地产开发有限公司|1.00|2.60|2019年07月19日|2020年07月18日|2023年07月17日|||莆田市|2019年06月06日
象山县|象山县自然资源和规划局国有建设用地使用权拍卖出让公告(象自然资规出工告字〔2019〕13号)|拍卖|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8529&sitePath=|丹霞路与环城西路交叉口东北角地块|1481平方米|丹西街道丹霞路与环城西路交叉口东北角|50年|大于或等于0.9并且小于或等于1.5|小于或等于50||小于或等于24|仓储用地|1500万元/公顷|149万元||149万元|1万元||||2019年06月20日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||茂港区|茂名高新区西南片区|3.227152|工业用地|挂牌出让|2019/6/6|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dbdf1cec-bcb2-402a-ae76-922af529ae51|茂港区|4409032019B00246|茂名市汉荣环保科技有限公司|茂名高新区西南片区|3.227152|0.000000|工业用地|挂牌出让|50|化学原料及化学制品制造业|七级|1297.3200|茂名市汉荣环保科技有限公司|0.60|1.80|2019年06月06日|2020年06月06日|2023年06月06日|||茂名市|2019年06月06日
奉化市|宁波市自然资源和规划局国有建设用地使用权挂牌出让公告(奉自然资规出告字[2019]01017号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8555&sitePath=|江口街道新塔村三号地块|12383平方米|江口街道|70年|大于1并且小于或等于2|小于或等于30|大于或等于30|大于或等于15并且小于或等于50|城镇住宅用地|0万元/公顷|1300万元||2600元/建筑平方米|10元/建筑平方米|2019年06月20日15时00分|2019年07月01日16时00分||2019年06月28日11时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||贵港市本级|贵港市中山路与浔州路交汇处西北角|4.296671|城镇住宅用地|挂牌出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=897f70b3-89d9-4bcc-b6e5-531130ef45e8|贵港市本级|4508002019B00756|贵港市中山路与龚州路交汇处西南角B地块|贵港市中山路与浔州路交汇处西北角|4.296671|0.000000|城镇住宅用地|挂牌出让|70|房地产业|十一级|23660.0000|广西盛享碧桂园地产有限公司|2.50|3.00|2019年06月04日|2020年06月03日|2022年06月02日|||贵港市|2019年06月04日
平湖市|平湖市自然资源和规划局国有建设用地使用权挂牌出让公告(平自然资规告字〔2019〕7号)|挂牌|2019/5/29|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8511&sitePath=|2019平-19号|16195平方米|平湖经济技术开发区新明路南侧、福善公路东侧|50年|大于或等于0.8|大于或等于30并且小于或等于60|大于或等于10并且小于或等于20||工业用地|4500万元/公顷|181万元||903万元|10万元|2019年06月18日15时00分|2019年06月28日15时00分||2019年06月26日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||龙岩市本级|兴业路与龙达路交叉口西北侧|1.978200|城镇住宅用地|拍卖出让|2019/6/5|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=16441097-de45-4d2f-8b28-d138c74fa61d|龙岩市本级|3508002019B00565|2019拍-2（兴业小区二期出让地块）|兴业路与龙达路交叉口西北侧|1.978200|1.978200|城镇住宅用地|拍卖出让|70|房地产业|二级|63700.0000|福州润磊企业管理有限公司|3.80|4.29|2020年10月31日|2019年06月05日|2020年10月31日|||龙岩市|2019年06月05日
鄞州区|宁波市自然资源和规划局国有建设用地使用权挂牌出让公告(甬土资告〔2019〕08013号)|挂牌|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8514&sitePath=|鄞州区JD07-02-01（明楼地段）地块|6519平方米|鄞州区福明街道|40年|大于或等于1.5并且小于或等于1.7|小于或等于45||小于或等于36|零售商业用地|0万元/公顷|980万元||4390元/建筑平方米|10元/建筑平方米|2019年06月20日09时00分|2019年07月01日10时00分||2019年06月28日15时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||景德镇市本级|206国道以西|3.772169|工业用地|挂牌出让|2019/6/7|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4c3ca95a-1e4a-4792-a445-fe10e4b8a82f|景德镇市本级|3602002019B00329|鱼丽工业平台B区6号地块|206国道以西|3.772169|0.000000|工业用地|挂牌出让|50|工艺品及其他制造业|九级|769.5200|景德镇市初心璞真文化发展有限公司|1.00|2.00|2019年07月15日|2020年01月15日|2021年01月15日|||景德镇市|2019年06月07日
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-78|1793平方米|林城镇北汤村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|229万元||229万元|5万元|2019年06月21日08时30分|2019年07月03日09时50分||2019年07月01日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||龙岩市本级|南三龙铁路南侧北二环西侧|2.676000|城镇住宅用地|拍卖出让|2019/6/5|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c3d674d4-ae53-493b-9bd7-05ee5490367e|龙岩市本级|3508002019B00587|2019拍-4（北二环西侧1号出让地块）|南三龙铁路南侧北二环西侧|2.676000|0.000000|城镇住宅用地|拍卖出让|70|房地产业|三级|12200.0000|厦门市腾碧房地产开发有限公司|2.00|2.20|2020年08月05日|2021年06月05日|2024年06月05日|||龙岩市|2019年06月05日
江北区|宁波市自然资源和规划局国有建设用地使用权挂牌出让公告(甬土资告〔2019〕第05009号)|挂牌|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8530&sitePath=|江北区荪湖南地段CC13-01-13-1地块|73067平方米|江北区荪湖南地段|70年|大于1并且小于或等于1.3|小于或等于35||小于或等于30|城镇住宅用地|0万元/公顷|9500万元||5000元/建筑平方米|10元/建筑平方米|2019年06月20日09时00分|2019年07月01日10时00分||2019年06月28日16时00分|||||||||||||||||||||||||||||
平阳县|平阳县自然资源和规划局国有建设用地使用权挂牌出让公告(平资规告字〔2019〕13号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8532&sitePath=|平阳县昆阳镇石塘村A-06地块|4977平方米|昆阳镇|50年|大于0.5并且小于或等于1.5||||社会福利用地|0万元/公顷|75万元||375万元|10万元|2019年06月20日08时30分|2019年07月03日10时00分||2019年07月01日16时00分|||||||||||||||||||||||||||||
丽水市本级|丽水市自然资源和规划局国有建设用地使用权挂牌出让公告(丽土告字〔2019〕27号)|挂牌|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8523&sitePath=|丽水富岭组团A2-24地块|7449平方米|丽水南城富五路与成大街（南二路）交叉口西北侧的富岭组团A2-24地块|40年|大于或等于1并且小于或等于1.2|小于或等于45|大于或等于20||零售商业用地|0万元/公顷|645万元||1289万元|50万元|2019年06月20日09时00分|2019年07月01日16时00分||2019年06月28日16时00分|||||||||||||||||||||||||||||
嘉兴市本级|嘉兴市自然资源和规划局国有建设用地使用权挂牌出让公告(嘉土秀洲[2019]第6号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8527&sitePath=|2019嘉秀洲-009号|4796平方米|秀洲国家高新区，升辉路南侧、象贤港西侧|35年|大于或等于1.1并且小于或等于2|小于或等于55|大于或等于15|小于或等于40|工业用地|5250万元/公顷|42万元||202.8708万元|5元/平方米|2019年06月20日10时00分|2019年07月03日10时00分||2019年07月01日17时00分|||||||||||||||||||||||||||||
乐清市|乐清市自然资源和规划局国有建设用地使用权挂牌出让公告(乐资规出让告字[2019]31号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8545&sitePath=|乐清经济开发区15-08-095地块|11782平方米|乐清经济开发区|50年|大于或等于1.6并且小于或等于3|小于或等于50|大于或等于15并且小于或等于20|小于或等于40|工业用地|6000万元/公顷|206万元||1028万元|1万元|2019年06月21日08时30分|2019年07月04日10时30分||2019年07月02日10时30分|||||||||||||||||||||||||||||
象山县|象山县自然资源和规划局国有建设用地使用权拍卖出让公告(象自然资规出工告字〔2019〕12号)|拍卖|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8492&sitePath=|贤庠镇西泽塘工业出让地块十一|18002平方米|贤庠镇西泽塘|50年|大于或等于0.9并且小于或等于2|小于或等于55||小于或等于24|工业用地|4050万元/公顷|341万元||541万元|1万元||||2019年06月19日16时00分|||||||||||||||||||||||||||||
磐安县|磐安县自然资源和规划局国有建设用地使用权挂牌出让公告(磐国土出（工）3307272019028)|挂牌|2019/5/29|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8502&sitePath=|磐国土出（工）3307272019028|13928平方米|磐安工业园区B-01-11-2出让工业地块|50年|大于或等于1.2|大于或等于40并且小于或等于55|大于或等于15并且小于或等于20||工业用地|2250万元/公顷|50万元||208.92万元|1元/平方米|2019年06月19日08时30分|2019年07月03日15时00分||2019年07月01日15时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||新都区|新都区新都街道桂湖西路社区|2.120533|城镇住宅用地|拍卖出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b2e588ef-b528-4a8c-913a-2598410a5d64|新都区|5101142019B00207|正惠程成都置业有限公司|新都区新都街道桂湖西路社区|2.120533|0.000000|城镇住宅用地|拍卖出让|0|房地产业|二级|32231.6000|正惠程成都置业有限公司|1.00|2.00|2019年07月11日|2020年05月11日|2021年08月11日|||成都市新都区|2019年06月04日
鄞州区|宁波市自然资源和规划局国有建设用地使用权拍卖出让公告(甬土资告 [2019]18002号)|拍卖|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8114&sitePath=|东部新城核心区A3-17#地块|11868平方米|东部新城核心区A3西区，昌乐路以东，宁穿路以北，城市支路承源路以西，规划公园绿地以南。|40年|大于1.5并且小于或等于8|小于或等于80|大于或等于5|小于或等于250|商务金融用地|0万元/公顷|3100万元||1601元/建筑平方米|10元/建筑平方米||||2019年06月20日16时00分|||||||||||||||||||||||||||||
龙泉市|龙泉市自然资源和规划局国有建设用地使用权挂牌出让公告(龙自然资规告字〔2019〕19号)|挂牌|2019/5/29|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8488&sitePath=|2019B21016|2823平方米|龙泉市安仁镇溪西工业地块内|50年|大于或等于1|大于或等于30并且小于或等于50|大于或等于10并且小于或等于15||工业用地|1785万元/公顷|46.58万元||46.58万元|1万元|2019年06月18日11时00分|2019年06月28日11时00分||2019年06月26日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||新兴县|新兴县新成工业园南片区XCN-05-02-01地块|0.636448|零售商业用地|挂牌出让|2019/6/3|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f36334a6-b18a-45ad-b19d-ec30ad38ea7a|新兴县|4453212019B00202|零售商业用地（联兴）|新兴县新成工业园南片区XCN-05-02-01地块|0.636448|0.000000|零售商业用地|挂牌出让|40|零售业|六级|1605.0000|新兴县联兴新能源有限公司||1.00|2019年07月03日|2020年07月03日|2023年07月03日|||新兴县|2019年06月03日
|||||||||||||||||||||||芜湖市本级|北至规划支路、南至安师大附属小学、西至仓津路、东至仓津路东侧B地块（详见规划红线图）|6.264300|城镇住宅用地|拍卖出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a2fbb3be-b0d5-4760-ae47-4d0edbebe230|芜湖市本级|3402002019B02177|合肥新城亿荣房地产开发有限公司|北至规划支路、南至安师大附属小学、西至仓津路、东至仓津路东侧B地块（详见规划红线图）|6.264300|2.065317|城镇住宅用地|拍卖出让|70|房地产业|一级|59800.0000|合肥新城亿荣房地产开发有限公司|1.00|2.00|2019年06月20日|2020年02月21日|2021年11月12日|||芜湖市|2019年06月04日
|||||||||||||||||||||||盐都区|盐都区振兴路东、孙吴路北侧|6.348500|城镇住宅用地|挂牌出让|2019/6/5|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=89EE1133E7147F2EE055000000000001|盐都区|3209032019B00289|盐城咏创建设发展有限公司|盐都区振兴路东、孙吴路北侧|6.348500|2.192900|城镇住宅用地|挂牌出让|70|房地产业|十二级|4031.2975|盐城咏创建设发展有限公司|1.00|2.20|2019年10月05日|2020年08月05日|2022年08月04日|||盐城市人民政府|2019年06月05日
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-86|95平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|13万元||13万元|5万元|2019年06月21日08时30分|2019年07月03日14时20分||2019年07月01日16时00分|||||||||||||||||||||||||||||
